"EPCI_CODE","EPCI","NATURE","REG_CODE","DEPT_CODE"
"243800984","Communauté d'agglomération du Pays Voironnais","Communauté d'agglomération","84","38"
"243801024","Communauté de communes du Massif du Vercors","Communauté de communes","84","38"
"243801073","Communauté de communes de Bièvre Est","Communauté de communes","84","38"
"243801255","Communauté de communes Collines Isère Nord Communauté","Communauté de communes","84","38"
"243900354","Communauté de communes de la Station des Rousses-Haut Jura","Communauté de communes","27","39"
"243900420","Communauté de communes du Val d'Amour","Communauté de communes","27","39"
"243900479","Communauté de communes Haut-Jura Arcade Communauté","Communauté de communes","27","39"
"243900560","Communauté de communes Jura Nord","Communauté de communes","27","39"
"243900610","Communauté de communes La Grandvallière","Communauté de communes","27","39"
"243901089","Communauté de communes de la Plaine Jurassienne","Communauté de communes","27","39"
"244000543","Communauté de communes de Mimizan","Communauté de communes","75","40"
"244000659","Communauté de communes du Seignanx","Communauté de communes","75","40"
"244000675","Communauté d'agglomération du Grand Dax","Communauté d'agglomération","75","40"
"244000691","Communauté de communes du Pays Morcenais","Communauté de communes","75","40"
"244000766","Communauté de communes du Pays Tarusate","Communauté de communes","75","40"
"244000774","Communauté de communes du Pays de Villeneuve en Armagnac Landais","Communauté de communes","75","40"
"244000808","Mont de Marsan Agglomération","Communauté d'agglomération","75","40"
"244000824","Communauté de communes du Pays Grenadois","Communauté de communes","75","40"
"244000857","Communauté de communes Côte Landes Nature","Communauté de communes","75","40"
"244000865","Communauté de communes Maremne Adour Côte Sud","Communauté de communes","75","40"
"244000873","Communauté de communes des Grands Lacs","Communauté de communes","75","40"
"244000881","Communauté de communes Coteaux et Vallées des Luys","Communauté de communes","75","40"
"244100293","Communauté de communes des Collines du Perche","Communauté de communes","24","41"
"244100780","Communauté de communes de la Sologne des Étangs","Communauté de communes","24","41"
"244100798","Communauté de communes du Grand Chambord","Communauté de communes","24","41"
"244100806","Communauté de communes de la Sologne des Rivières","Communauté de communes","24","41"
"244200614","Communauté de communes des Vals d'Aix et Isable","Communauté de communes","84","42"
"244200622","Communauté de communes des Monts du Pilat","Communauté de communes","84","42"
"244200630","Communauté de communes du Pays entre Loire et Rhône","Communauté de communes","84","42"
"244200770","Saint-Etienne Métropole","Métropole","84","42"
"244200820","Communauté de communes du Pays d'Urfé","Communauté de communes","84","42"
"244200895","Communauté de communes du Pilat Rhodanien","Communauté de communes","84","42"
"244300307","Communauté de communes Haut Pays du Velay Communauté","Communauté de communes","84","43"
"244301016","Communauté de communes des Sucs","Communauté de communes","84","43"
"244301099","Communauté de communes Auzon Communauté","Communauté de communes","84","43"
"244301107","Communauté de communes du Haut-Lignon","Communauté de communes","84","43"
"244301123","Communauté de communes des Pays de Cayres et de Pradelles","Communauté de communes","84","43"
"244301131","Communauté de communes Loire et Semène","Communauté de communes","84","43"
"244400404","Nantes Métropole","Métropole","52","44"
"244400438","Communauté de communes Grand Lieu Communauté","Communauté de communes","52","44"
"244400453","Communauté de communes Pays de Blain Communauté","Communauté de communes","52","44"
"244400503","Communauté de communes d'Erdre et Gesvres","Communauté de communes","52","44"
"244400537","Communauté de communes de Nozay","Communauté de communes","52","44"
"244400552","Communauté de communes du Pays d'Ancenis","Communauté de communes","52","44-49"
"244400586","Communauté de communes du Sud Estuaire","Communauté de communes","52","44"
"244400610","Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique)","Communauté d'agglomération","52-53","44-56"
"244400644","Communauté d'agglomération de la Région Nazairienne et de l'Estuaire (CARENE)","Communauté d'agglomération","52","44"
"244500203","Communauté d'agglomération Montargoise et Rives du Loing (AME)","Communauté d'agglomération","24","45"
"244500211","Communauté de communes Giennoises","Communauté de communes","24","45"
"244500419","Communauté de communes des Quatre Vallées","Communauté de communes","24","45"
"244500427","Communauté de communes des Loges","Communauté de communes","24","45"
"244500468","Orléans Métropole","Métropole","24","45"
"244500484","Communauté de communes de la Forêt","Communauté de communes","24","45"
"244500542","Communauté de communes de la Plaine du Nord Loiret","Communauté de communes","24","45"
"244600433","Communauté de communes de la Vallée du Lot et du Vignoble","Communauté de communes","76","46"
"244600482","Communauté de communes Quercy - Bouriane","Communauté de communes","76","46"
"244600532","Communauté de communes du Pays de Lalbenque-Limogne","Communauté de communes","76","46"
"244600573","Communauté de communes du Causse de Labastide-Murat","Communauté de communes","76","46"
"244700449","Communauté de communes du Pays de Duras","Communauté de communes","75","47"
"244700464","Communauté de communes du Pays de Lauzun","Communauté de communes","75","47"
"244701355","Communauté de communes des Coteaux et Landes de Gascogne","Communauté de communes","75","47"
"244701405","Communauté de communes Lot et Tolzac","Communauté de communes","75","47"
"244800405","Communauté de communes Coeur de Lozère","Communauté de communes","76","48"
"244800470","Communauté de communes du Gévaudan","Communauté de communes","76","48"
"244900015","Communauté urbaine Angers Loire Métropole","Communauté urbaine","52","49"
"244900809","Communauté de communes Anjou Bleu Communauté","Communauté de communes","52","49"
"244900882","Communauté de communes Baugeois Vallée","Communauté de communes","52","49"
"245100615","Communauté de communes de la Grande Vallée de la Marne","Communauté de communes","44","51"
"245100888","Communauté de communes de la Brie Champenoise","Communauté de communes","44","51"
"245100979","Communauté de communes du Sud Marnais","Communauté de communes","44","51"
"245200597","Communauté de communes des Trois Forêts","Communauté de communes","44","52"
"245300223","Communauté de communes du Pays de Meslay-Grez","Communauté de communes","52","53"
"245300355","Communauté de communes de l'Ernée","Communauté de communes","52","53"
"245300389","Communauté de communes du Bocage Mayennais","Communauté de communes","52","53"
"245300447","Communauté de communes du Pays de Château-Gontier","Communauté de communes","52","53"
"245400171","Communauté de communes Moselle et Madon","Communauté de communes","44","54"
"245400189","Communauté de communes des Pays du Sel et du Vermois","Communauté de communes","44","54"
"245400262","Agglomération du Grand Longwy","Communauté d'agglomération","44","54"
"245400510","Communauté de communes du Pays de Colombey et du Sud Toulois","Communauté de communes","44","54-88"
"245400601","Communauté de communes du Bassin de Pompey","Communauté de communes","44","54"
"245400676","Métropole du Grand Nancy","Métropole","44","54"
"245400759","Communauté de communes du Pays du Sanon","Communauté de communes","44","54"
"245500327","Communauté de communes du Sammiellois","Communauté de communes","44","55"
"245501176","Communauté de communes du Territoire de Fresnes-en-Woëvre","Communauté de communes","44","55"
"245501184","Communauté de communes du Pays de Revigny-sur-Ornain","Communauté de communes","44","55"
"245501242","Communauté de communes du Pays d'Étain","Communauté de communes","44","55"
"245501259","Communauté de communes du Pays de Montmédy","Communauté de communes","44","55"
"245600440","Blavet Bellevue Océan Communauté","Communauté de communes","53","56"
"245600465","Communauté de communes de Belle-Île-en-Mer","Communauté de communes","53","56"
"245614383","Communauté de communes Questembert Communauté","Communauté de communes","53","56"
"245614417","Communauté de communes Roi Morvan Communauté","Communauté de communes","53","56"
"245614433","Communauté de communes Pontivy Communauté","Communauté de communes","53","22-56"
"245700133","Communauté de communes du District Urbain de Faulquemont","Communauté de communes","44","57"
"245700372","Communauté d'agglomération de Forbach Porte de France","Communauté d'agglomération","44","57"
"245700398","Communauté de communes de Freyming-Merlebach","Communauté de communes","44","57"
"245700695","Communauté de communes de Cattenom et Environs","Communauté de communes","44","57"
"245700950","Communauté de communes du Pays de Phalsbourg","Communauté de communes","44","57"
"245701164","Communauté de communes du Warndt","Communauté de communes","44","57"
"245701206","Communauté de communes du Saulnois","Communauté de communes","44","57"
"245701271","Communauté de communes du Pays Orne Moselle","Communauté de communes","44","57"
"245701354","Communauté de communes de l'Arc Mosellan","Communauté de communes","44","57"
"245701404","Communauté de communes du Pays Haut Val d'Alzette","Communauté de communes","44","54-57"
"245801063","Communauté de communes Loire et Allier","Communauté de communes","27","58"
"245804406","Communauté d'agglomération de Nevers","Communauté d'agglomération","27","58"
"245804497","Communauté de communes du Nivernais Bourbonnais","Communauté de communes","27","58"
"245900428","Communauté urbaine de Dunkerque","Communauté urbaine","32","59"
"245900758","Communauté de communes Flandre Lys","Communauté de communes","32","59-62"
"245901038","Communauté de communes du Pays Solesmois","Communauté de communes","32","59"
"245901152","Communauté d'agglomération Coeur d'Ostrevent","Communauté d'agglomération","32","59"
"245901160","Communauté d'agglomération Valenciennes Métropole","Communauté d'agglomération","32","59"
"246000129","Communauté de communes du Liancourtois","Communauté de communes","32","60"
"246000376","Communauté de communes du Clermontois","Communauté de communes","32","60"
"246000566","Communauté de communes du Plateau Picard","Communauté de communes","32","60"
"246000582","Communauté de communes des Sablons","Communauté de communes","32","60"
"246000707","Communauté de communes du Vexin-Thelle","Communauté de communes","32","60"
"246000749","Communauté de communes des Lisières de l'Oise","Communauté de communes","32","60"
"246000756","Communauté de communes du Pays Noyonnais","Communauté de communes","32","60"
"246000764","Communauté de communes de l'Aire Cantilienne","Communauté de communes","32","60"
"246000772","Communauté de communes des Deux Vallées","Communauté de communes","32","60"
"246000848","Communauté de communes de la Picardie Verte","Communauté de communes","32","60"
"246000855","Communauté de communes du Pays des Sources","Communauté de communes","32","60"
"246000871","Communauté de communes du Pays de Valois","Communauté de communes","32","60"
"246000897","Communauté de communes de la Plaine d'Estrées","Communauté de communes","32","60"
"246000913","Communauté de communes du Pays de Bray","Communauté de communes","32","60"
"246000921","Communauté de communes des Pays d'Oise et d'Halatte","Communauté de communes","32","60"
"246100390","Communauté de communes du Val d'Orne","Communauté de communes","28","61"
"246100663","Communauté urbaine d'Alençon","Communauté urbaine","28-52","61-72"
"246200299","Communauté d'agglomération d'Hénin-Carvin","Communauté d'agglomération","32","62"
"246200364","Communauté d'agglomération de Lens - Liévin","Communauté d'agglomération","32","62"
"246200380","Communauté de communes de la Terre des Deux Caps","Communauté de communes","32","62"
"246200729","Communauté d'agglomération du Boulonnais","Communauté d'agglomération","32","62"
"246200844","Communauté de communes de la Région d'Audruicq","Communauté de communes","32","62"
"246201016","Communauté de communes du Pays de Lumbres","Communauté de communes","32","62"
"246300701","Clermont Auvergne Métropole","Métropole","84","63"
"246300966","Communauté de communes du Massif du Sancy","Communauté de communes","84","15-63"
"246301097","Communauté de communes Entre Dore et Allier","Communauté de communes","84","63"
"246400337","Communauté de communes de la Vallée d'Ossau","Communauté de communes","75","64"
"246401756","Communauté de communes Pays de Nay","Communauté de communes","75-76","64-65"
"246500482","Communauté de communes de la Haute-Bigorre","Communauté de communes","76","65"
"246500573","Communauté de communes Aure Louron","Communauté de communes","76","65"
"246600282","Communauté de communes Sud-Roussillon","Communauté de communes","76","66"
"246600373","Communauté de communes du Vallespir","Communauté de communes","76","66"
"246600399","Communauté de communes Pyrénées Cerdagne","Communauté de communes","76","66"
"246600415","Communauté de communes Roussillon-Conflent","Communauté de communes","76","66"
"246600423","Communauté de communes Agly Fenouillèdes","Communauté de communes","76","66"
"246600449","Communauté de communes des Aspres","Communauté de communes","76","66"
"246600464","Communauté de communes Pyrénées catalanes","Communauté de communes","76","66"
"246600548","Communauté de communes du Haut Vallespir","Communauté de communes","76","66"
"246700306","Communauté de communes de la Vallée de la Bruche","Communauté de communes","44","67"
"246700488","Eurométropole de Strasbourg","Métropole","44","67"
"246700744","Communauté de communes des Portes de Rosheim","Communauté de communes","44","67"
"246700777","Communauté de communes de la Vallée de Villé","Communauté de communes","44","67"
"246700843","Communauté de communes de la Basse-Zorn","Communauté de communes","44","67"
"246700926","Communauté de communes du Pays de Wissembourg","Communauté de communes","44","67"
"246700959","Communauté de communes du Pays de la Zorn","Communauté de communes","44","67"
"246700967","Communauté de communes de Sélestat","Communauté de communes","44","67"
"246701064","Communauté de communes de la Région de Molsheim-Mutzig","Communauté de communes","44","67"
"246701080","Communauté de communes du Pays de Sainte-Odile","Communauté de communes","44","67"
"246701098","Communauté de communes du Pays de Niederbronn-les-Bains","Communauté de communes","44","67"
"246800205","Communauté de communes de la Vallée de Saint-Amarin","Communauté de communes","44","68"
"246800395","Communauté de communes du Val d'Argent","Communauté de communes","44","68"
"246800445","Communauté de communes du Centre du Haut-Rhin","Communauté de communes","44","68"
"246800494","Communauté de communes du Pays de Rouffach, Vignobles et Châteaux","Communauté de communes","44","68"
"246800551","Communauté de communes de la Vallée de Kaysersberg","Communauté de communes","44","68"
"246800569","Communauté de communes de la Région de Guebwiller","Communauté de communes","44","68"
"246800577","Communauté de communes du Pays de Ribeauvillé","Communauté de communes","44","68"
"246800585","Communauté de communes de la Vallée de Munster","Communauté de communes","44","68"
"246800676","Communauté de communes de la Vallée de la Doller et du Soultzbach","Communauté de communes","44","68"
"246800726","Communauté d'agglomération Colmar Agglomération","Communauté d'agglomération","44","68"
"246900575","Communauté de communes de l'Est Lyonnais (CCEL)","Communauté de communes","84","69"
